철도운영기관명,선명,역명,지번주소,도로명주소,x,y,lng,lat
서울교통공사,4호선,상계,서울특별시 노원구 상계동 156-203 상계역(4호선),서울특별시 노원구 상계로 182(상계동),962395.09627574,1962471.17186111,127.07364142445942,37.66097613913715
서울교통공사,4호선,서울역,서울특별시 용산구 동자동 14-151 서울역 (4호선),서울특별시 용산구 한강대로 392(동자동),953462.093609128,1950540.70529665,126.97312302913497,37.55303585579569
서울교통공사,4호선,성신여대입구(돈암),서울특별시 성북구 동선동4가 1 성신여대입구역(4호선),서울특별시 성북구 동소문로 102(동선동4가),957355.485715188,1954943.11514761,127.01694417501248,37.592904266403224
서울교통공사,4호선,수유(강북구청),서울특별시 강북구 수유동 140 수유역(4호선),서울특별시 강북구 도봉로 338(수유동),958123.327341372,1959914.24579532,127.02535690914361,37.637745238527515
서울교통공사,4호선,숙대입구(갈월),서울특별시 용산구 갈월동 16-7 숙대입구역(4호선),서울특별시 용산구 한강대로 306(갈월동),953378.764163097,1949703.34390741,126.97223287355722,37.54548433006608
서울교통공사,4호선,신용산,서울특별시 용산구 한강로2가 181 신용산역(4호선),서울특별시 용산구 한강대로 112(한강로2가),953013.812914423,1947944.03828573,126.96821429543867,37.52960878456954
서울교통공사,4호선,쌍문,서울특별시 도봉구 창동 703-4 쌍문역(4호선),서울특별시 도봉구 도봉로  486-1(창동),958969.648234404,1961141.78308275,127.03488009700233,37.64884741546781
서울교통공사,4호선,이촌(국립중앙박물관),서울특별시 용산구 용산동5가 17-112 이촌역(4호선),서울특별시 용산구 서빙고로 83(용산동5가),953492.602960782,1947154.91428286,126.97368296347726,37.5225204920125
서울교통공사,4호선,창동,서울특별시 도봉구 창동 135-1 창동역(4호선),서울특별시 도봉구 마들로11길 77(창동),960101.45911792,1961620.1027348,127.0476837813256,37.65320847076506
서울교통공사,4호선,총신대입구(이수),서울특별시 동작구 사당동 736-1 총신대입구(이수)역(4호선),서울특별시 동작구 동작대로 117(사당동),954225.007375281,1943287.83456125,126.98221194474382,37.48770202663998
서울교통공사,4호선,충무로,서울특별시 중구 필동2가 16-2 충무로역(4호선),서울특별시 중구 퇴계로 214(필동2가),955340.691147396,1951448.29884123,126.99433544172828,37.56130919092758
서울교통공사,4호선,한성대입구(삼선교),서울특별시 성북구 삼선동1가 14 한성대입구역(4호선),서울특별시 성북구 삼선교로 1(삼선동1가),956389.106449404,1954450.46112137,127.0060272296421,37.588418573750864
서울교통공사,4호선,혜화,서울특별시 종로구 명륜4가 96-5 혜화역(4호선),서울특별시 종로구 대학로 120(명륜4가),956055.54631655,1953726.35284327,127.00229263960135,37.58187617271919
서울교통공사,4호선,회현(남대문시장),서울특별시 중구 남창동 64-1 회현역(4호선),서울특별시 중구 퇴계로 54(남창동),953916.287803646,1951145.58274665,126.97822696141748,37.55851057440968
서울교통공사,5호선,강동,서울특별시 강동구 천호동 447 강동역(5호선),서울특별시 강동구 천호대로 1097(천호동),967622.784235501,1948530.34291019,127.13352774831532,37.535522173304734
서울교통공사,5호선,강일,서울특별시 강동구 상일동 산73 강일역(5호선),서울특별시 강동구 고덕로 456(강일동),971378.081775248,1950957.84606827,127.17593796044221,37.55752660840645
서울교통공사,5호선,개롱,서울특별시 송파구 가락동 165-2 개롱역(5호선),서울특별시 송파구 오금로 402(가락동),967750.263711277,1944346.70333222,127.13515427375131,37.49781758297582
서울교통공사,5호선,개화산,서울특별시 강서구 방화동 846 개화산역(5호선),서울특별시 강서구 양천로 22(방화동),938725.860122672,1952768.58308915,126.80611101779743,37.572253220160306
서울교통공사,5호선,거여,서울특별시 송파구 거여동 20-14 거여역(5호선),서울특별시 송파구 오금로 499(거여동),968533.037833815,1943832.21017471,127.1440317588539,37.49320721682384
서울교통공사,5호선,고덕,서울특별시 강동구 고덕동 310 고덕역(5호선),서울특별시 강동구 고덕로 253(고덕동),969435.405967349,1950689.90048168,127.15395419136397,37.55504908554969
서울교통공사,5호선,공덕,서울특별시 마포구 공덕동 423-29 공덕역(5호선),서울특별시 마포구 마포대로 100(공덕동),951551.781814042,1949636.65703146,126.9515561109132,37.544789021825636
서울교통공사,5호선,광나루(장신대),서울특별시 광진구 광장동 237 광나루역(5호선),서울특별시 광진구 아차산로 571(광장동),965014.663360753,1949615.53904406,127.1039557555273,37.545208169473284
서울교통공사,5호선,광화문(세종문화회관),서울특별시 종로구 세종로 1-68 5호선 광화문역(5호선),서울특별시 종로구 세종대로 172(세종로),953795.276638462,1952600.73326734,126.97676516272234,37.57162006034298
서울교통공사,5호선,군자(능동),서울특별시 광진구 능동 275-5 군자(능동)역(5호선),서울특별시 광진구 천호대로 550(능동),962787.882423648,1950988.53964686,127.07867889169091,37.55749626095453
서울교통공사,5호선,굽은다리(강동구민회관앞),서울특별시 강동구 명일동 345-12 굽은다리역(5호선),서울특별시 강동구 양재대로 1572(명일동),968461.271242372,1949659.38234891,127.1429697484583,37.5457277604831
서울교통공사,5호선,길동,서울특별시 강동구 길동 378 길동역(5호선),서울특별시 강동구 양재대로 1480(길동),968195.520674446,1948782.2231377,127.13999942335819,37.53781241791818
서울교통공사,5호선,김포공항,서울특별시 강서구 방화동 886 김포공항역(5호선),서울특별시 강서구 하늘길 77(방화동),938290.91320417,1951668.90699964,126.80127845652358,37.56231290590148
서울교통공사,5호선,까치산,서울특별시 강서구 화곡동 662-5 까치산역(5호선),서울특별시 강서구 강서로 54(화곡동),942271.700002895,1948272.2473336,126.84661672815282,37.5319569345109
서울교통공사,5호선,답십리,서울특별시 성동구 용답동 99 답십리역(5호선),서울특별시 성동구 천호대로 300(용답동),960540.764814569,1951991.6421345,127.05318338891917,37.56644399372455
서울교통공사,5호선,동대문역사문화공원,서울특별시 중구 광희동1가 235-6 동대문역사문화공원역(5호선),서울특별시 중구 마른내로 162(광희동1가),956385.004864036,1951801.30773048,127.00613849639991,37.56454099325405
서울교통공사,5호선,둔촌동,서울특별시 강동구 둔촌동 416 둔촌동역(5호선),서울특별시 강동구 양재대로 1369(둔촌동),967848.090704354,1947653.06287455,127.13611632516637,37.5276227520146
서울교통공사,5호선,마곡,서울특별시 강서구 마곡동 769-3 마곡역(5호선),서울특별시 강서구 공항대로 163(마곡동),940435.257938174,1951419.09615084,126.82557723654801,37.56020256723736
서울교통공사,5호선,마장,서울특별시 성동구 마장동 804 마장역(5호선),서울특별시 성동구 마장로 296(마장동),959656.842480977,1951978.83767441,127.0431752883426,37.56629027882502
서울교통공사,5호선,마천,서울특별시 송파구 마천동 307-4 마천역(5호선),서울특별시 송파구 마천로57길 7(마천동),969236.78413046,1943989.81965784,127.1519861216057,37.49465155058685
서울교통공사,5호선,마포,서울특별시 마포구 도화동 160 마포역(5호선),서울특별시 마포구 마포대로 33(도화동),951049.026276569,1949060.59218076,126.94590348431728,37.539570275703745
서울교통공사,5호선,명일,서울특별시 강동구 명일동 312 명일역(5호선),서울특별시 강동구 양재대로 1632(명일동),968554.666099084,1950272.49725096,127.1440007129165,37.55125721337902
서울교통공사,5호선,목동,서울특별시 양천구 목동 926-3 목동역(5호선),서울특별시 양천구 오목로 245(목동),943868.881072866,1947622.4073257,126.86474266431586,37.52619851190651
서울교통공사,5호선,미사,경기도 하남시 망월동 1122 미사역(5호선),경기도 하남시 미사강변동로 90(망월동),972885.158348271,1951588.26550767,127.19297778157191,37.56325445898439
서울교통공사,5호선,발산,서울특별시 강서구 마곡동 727-1496 발산역(5호선),서울특별시 강서구 공항대로 267(마곡동),941470.729102648,1951281.31569846,126.83731164968081,37.55902714335738
서울교통공사,5호선,방이,서울특별시 송파구 방이동 217-2 방이역(5호선),서울특별시 송파구 양재대로 1127(방이동),966932.744666998,1945540.57135861,127.12585205071676,37.5085495503306
서울교통공사,5호선,방화,서울특별시 강서구 방화동 829-15 방화역(5호선),서울특별시 강서구 금낭화로 132(방화동),939305.378181227,1953291.35442872,126.81262993252501,37.57700329742833
서울교통공사,5호선,상일동,서울특별시 강동구 상일동 148 상일동역(5호선),서울특별시 강동구 고덕로 359(상일동),970484.559460833,1950865.09659974,127.16582524327626,37.55666241810659
서울교통공사,5호선,서대문,서울특별시 종로구 평동 210 서대문역(5호선),서울특별시 종로구 통일로 126(평동),952894.325125699,1951962.49306686,126.9666039687157,37.56582183330266
서울교통공사,5호선,송정,서울특별시 강서구 공항동 29-5 송정역(5호선),서울특별시 강서구 공항대로 33(공항동),939153.73223519,1951569.80692136,126.8110555837719,37.56147713703336
서울교통공사,5호선,신금호,서울특별시 성동구 금호동2가 223-1 신금호역(5호선),서울특별시 성동구 금호로 154(금호동2가),957609.222937081,1950684.42367255,127.02006469140088,37.55453139997666
서울교통공사,5호선,신길,서울특별시 영등포구 영등포동1가 35 신길역(5호선),서울특별시 영등포구 경인로114가길 9(영등포동1가),948245.180084605,1946647.39677128,126.91433714084948,37.51766659951996
서울교통공사,5호선,신정(은행정),서울특별시 양천구 신정동 1090 신정역(5호선),서울특별시 양천구 오목로 179(신정동),943207.329657337,1947541.80869361,126.85726229565626,37.525431563926404
서울교통공사,5호선,아차산(어린이대공원후문),서울특별시 광진구 능동 256-16 5호선 아차산역(5호선),서울특별시 광진구 천호대로 657(능동),963734.844827842,1950416.97096356,127.08942854990043,37.5523822840535
서울교통공사,5호선,애오개,서울특별시 마포구 아현동 612 애오개역(5호선),서울특별시 마포구 마포대로 210(아현동),952003.432244389,1950583.74038639,126.95660670889346,37.5533488949906
서울교통공사,5호선,양평,서울특별시 영등포구 양평동2가 33-79 양평역(5호선),서울특별시 영등포구 양산로 21(양평동2가),945823.572093958,1947533.1529134,126.88687005327928,37.52551096826409
서울교통공사,5호선,여의나루,서울특별시 영등포구 여의도동 84-4 여의나루역(5호선),서울특별시 영등포구 여의동로 343(여의도동),949884.573085401,1947676.62113353,126.9328176131077,37.52703372341184
서울교통공사,5호선,여의도,서울특별시 영등포구 여의도동 3 여의도역(5호선),서울특별시 영등포구 여의나루로 40(여의도동),949144.077329623,1947104.58912587,126.92447703044363,37.52183735583699
서울교통공사,5호선,영등포구청,서울특별시 영등포구 당산동3가 556-1 영등포구청역(5호선),서울특별시 영등포구 양산로 116(당산동3가),946567.783517276,1947385.55350201,126.89530280986662,37.52422405968274
서울교통공사,5호선,영등포시장,서울특별시 영등포구 영등포동5가 62-1 영등포시장역(5호선),서울특별시 영등포구 양산로 200(영등포동5가),947435.958727143,1947211.48821207,126.90513999466408,37.522705079396324
서울교통공사,5호선,오금,서울특별시 송파구 오금동 44-2 오금역(5호선),서울특별시 송파구 오금로 321(오금동),967108.934577334,1944843.03680738,127.12787676662398,37.50226864266777
서울교통공사,5호선,오목교(목동운동장앞),서울특별시 양천구 목동 406-30 오목교역(5호선),서울특별시 양천구 오목로 342(목동),944805.246959825,1947422.21792143,126.8753543383459,37.524450710533166
