철도운영기관명,선명,역명,지번주소,도로명주소,환승,x,y,lng,lat
서울교통공사,3호선,수서,서울특별시 강남구 수서동 728 수서역(3호선),서울특별시 강남구 광평로 270(수서동),y,964801.589976861,1943201.35759705,127.10185103077721,37.487386321747714
서울교통공사,3호선,약수,서울특별시 중구 신당동 369-44 약수역(3호선),서울특별시 중구 다산로 122(신당동),y,956791.97774824,1950693.1936711,127.01081188265469,37.55457247485052
서울교통공사,3호선,양재(서초구청),서울특별시 서초구 서초동 1366-9 양재역(3호선),서울특별시 서초구 남부순환로 2585(서초동),y,958873.936120214,1942825.95952766,127.03482286876128,37.48375772948258
서울교통공사,3호선,연신내,서울특별시 은평구 갈현동 397 연신내역(3호선),서울특별시 은평구 통일로 849(갈현동),y,948917.51352481,1957881.91149478,126.92116190606612,37.61896190154113
서울교통공사,3호선,오금,서울특별시 송파구 오금동 44-2 오금역(3호선),서울특별시 송파구 오금로 321(오금동),y,967108.934577334,1944843.03680738,127.12787676662398,37.50226864266777
서울교통공사,3호선,옥수,서울특별시 성동구 옥수동 168-1 옥수역(3호선),서울특별시 성동구 동호로 21(옥수동),y,957504.434635319,1949182.32126483,127.01896536085478,37.54098770955187
서울교통공사,3호선,을지로3가,서울특별시 중구 을지로3가 282-8 을지로3가역(3호선),서울특별시 중구 을지로 129(을지로3가),y,955194.820067598,1951999.91348506,126.99265012792694,37.56627392686847
서울교통공사,3호선,종로3가,서울특별시 종로구 묘동 20-5 종로3가역(3호선),서울특별시 종로구 돈화문로 30(묘동),y,955161.01386397,1952554.1969808,126.99223342471753,37.57126815289473
서울교통공사,3호선,충무로,서울특별시 중구 필동2가 16-2 충무로역(3호선),서울특별시 중구 퇴계로 214(필동2가),y,955340.691147396,1951448.29884123,126.99433544172828,37.56130919092758
코레일,4호선,고잔,경기도 안산시 단원구 고잔동 453-67,경기도 안산시 단원구 중앙대로 784,y,940026.184624752,1924417.61808282,126.82314131147476,37.31680823978468
코레일,4호선,금정,경기도 군포시 금정동 613 금정역,경기도 군포시 군포로 750(금정동),y,950716.653443351,1930504.44293082,126.94338232493723,37.37230029880159
서울교통공사,4호선,노원,서울특별시 노원구 상계동 602-5 노원역(4호선),서울특별시 노원구 상계로 69-1(상계동),y,961456.602282036,1961953.04565943,127.06302857706257,37.65626724497084
서울교통공사,4호선,동대문,서울특별시 종로구 종로6가 287-1 동대문역(4호선),서울특별시 종로구 율곡로 308(종로6가),y,956691.452066343,1952441.28416228,127.00957052606368,37.57032371351363
서울교통공사,4호선,동대문역사문화공원,서울특별시 중구 광희동2가 9 동대문역사문화공원역(4호선),서울특별시 중구 장충단로 230(광희동2가),y,956509.342410929,1951856.24659319,127.00754308844343,37.565042050925314
서울교통공사,4호선,동작(현충원),서울특별시 동작구 동작동 327-1 동작역(4호선),서울특별시 동작구 현충로 257(동작동),y,954076.264702569,1944940.35665296,126.98042631271419,37.50258932264758
서울교통공사,4호선,사당,서울특별시 동작구 사당동 588-44 사당역(4호선),서울특별시 동작구  동작대로 3(사당동),y,954163.806185441,1942085.93086082,126.98159454056405,37.476865843365516
서울교통공사,4호선,삼각지,서울특별시 용산구 한강로1가 228-1 삼각지역(4호선),서울특별시 용산구 한강대로 180(한강로1가),y,953471.351859628,1948473.2204069,126.97335894447562,37.534401631504146
서울교통공사,4호선,서울역,서울특별시 용산구 동자동 14-151 서울역 (4호선),서울특별시 용산구 한강대로 392(동자동),y,953462.093609128,1950540.70529665,126.97312302913497,37.55303585579569
서울교통공사,4호선,성신여대입구(돈암),서울특별시 성북구 동선동4가 1 성신여대입구역(4호선),서울특별시 성북구 동소문로 102(동선동4가),y,957355.485715188,1954943.11514761,127.01694417501248,37.592904266403224
코레일,4호선,신길온천,경기도 안산시 단원구 신길동 216-2,경기도 안산시 단원구 황고개로 2,y,935093.757285848,1926765.65723666,126.76727292405762,37.33764007807224
코레일,4호선,안산,경기도 안산시 단원구 원곡동 377-2,경기도 안산시 단원구 중앙대로 462,y,937046.198493087,1925604.9031082,126.78941102831875,37.32731238609168
코레일,4호선,오이도,경기도 시흥시 정왕동 878,경기도 시흥시 역전로 430  ,y,932565.034976559,1929484.44416983,126.73848093925007,37.36196453791481
서울교통공사,4호선,이촌(국립중앙박물관),서울특별시 용산구 용산동5가 17-112 이촌역(4호선),서울특별시 용산구 서빙고로 83(용산동5가),y,953492.602960782,1947154.91428286,126.97368296347726,37.5225204920125
코레일,4호선,정왕,경기도 시흥시 정왕동 2324-2,경기도 시흥시 마유로 418번길 15,y,932949.423873642,1928353.69217673,126.7429237354813,37.35180082685525
코레일,4호선,중앙,경기도 안산시 단원구 고잔동 167-378 중앙역,경기도 안산시 단원구 중앙대로 918,y,941386.22506043,1924319.62839654,126.83849739126086,37.31601182344432
서울교통공사,4호선,창동,서울특별시 도봉구 창동 135-1 창동역(4호선),서울특별시 도봉구 마들로11길 77(창동),y,960101.45911792,1961620.1027348,127.0476837813256,37.65320847076506
코레일,4호선,초지,경기도 안산시 단원구 초지동 25-1,경기도 안산시 단원구 중앙대로 620,y,938500.48741909,1924860.36205158,126.80588688224367,37.32069907565284
서울교통공사,4호선,총신대입구(이수),서울특별시 동작구 사당동 736-1 총신대입구(이수)역(4호선),서울특별시 동작구 동작대로 117(사당동),y,954225.007375281,1943287.83456125,126.98221194474382,37.48770202663998
서울교통공사,4호선,충무로,서울특별시 중구 필동2가 16-2 충무로역(4호선),서울특별시 중구 퇴계로 214(필동2가),y,955340.691147396,1951448.29884123,126.99433544172828,37.56130919092758
코레일,4호선,한대앞,경기도 안산시 상록구 이동 211-5,경기도 안산시 상록구 충장로 337,y,942700.770012468,1923685.84675798,126.85338112455574,37.31038131144777
서울교통공사,5호선,강동,서울특별시 강동구 천호동 447 강동역(5호선),서울특별시 강동구 천호대로 1097(천호동),y,967622.784235501,1948530.34291019,127.13352774831532,37.535522173304734
서울교통공사,5호선,공덕,서울특별시 마포구 공덕동 423-29 공덕역(5호선),서울특별시 마포구 마포대로 100(공덕동),y,951551.781814042,1949636.65703146,126.9515561109132,37.544789021825636
서울교통공사,5호선,군자(능동),서울특별시 광진구 능동 275-5 군자(능동)역(5호선),서울특별시 광진구 천호대로 550(능동),y,962787.882423648,1950988.53964686,127.07867889169091,37.55749626095453
서울교통공사,5호선,김포공항,서울특별시 강서구 방화동 886 김포공항역(5호선),서울특별시 강서구 하늘길 77(방화동),y,938290.91320417,1951668.90699964,126.80127845652358,37.56231290590148
서울교통공사,5호선,까치산,서울특별시 강서구 화곡동 662-5 까치산역(5호선),서울특별시 강서구 강서로 54(화곡동),y,942271.700002895,1948272.2473336,126.84661672815282,37.5319569345109
서울교통공사,5호선,동대문역사문화공원,서울특별시 중구 광희동1가 235-6 동대문역사문화공원역(5호선),서울특별시 중구 마른내로 162(광희동1가),y,956385.004864036,1951801.30773048,127.00613849639991,37.56454099325405
서울교통공사,5호선,신길,서울특별시 영등포구 영등포동1가 35 신길역(5호선),서울특별시 영등포구 경인로114가길 9(영등포동1가),y,948245.180084605,1946647.39677128,126.91433714084948,37.51766659951996
서울교통공사,5호선,여의도,서울특별시 영등포구 여의도동 3 여의도역(5호선),서울특별시 영등포구 여의나루로 40(여의도동),y,949144.077329623,1947104.58912587,126.92447703044363,37.52183735583699
서울교통공사,5호선,영등포구청,서울특별시 영등포구 당산동3가 556-1 영등포구청역(5호선),서울특별시 영등포구 양산로 116(당산동3가),y,946567.783517276,1947385.55350201,126.89530280986662,37.52422405968274
서울교통공사,5호선,오금,서울특별시 송파구 오금동 44-2 오금역(5호선),서울특별시 송파구 오금로 321(오금동),y,967108.934577334,1944843.03680738,127.12787676662398,37.50226864266777
서울교통공사,5호선,올림픽공원(한국체대),서울특별시 송파구 방이동 89-28 올림픽공원역(5호선),서울특별시 송파구 양재대로 1233(방이동),y,967350.716104815,1946368.99228958,127.13054440064421,37.516031374102596
서울교통공사,5호선,왕십리,서울특별시 성동구 행당동 192 왕십리역(5호선),서울특별시 성동구 왕십리로 300(행당동),y,959078.241949868,1951419.29343538,127.03665495190563,37.561221420472805
서울교통공사,5호선,을지로4가,서울특별시 중구 주교동 191 을지로4가역(5호선),서울특별시 중구 창경궁로 51(주교동),y,955673.223004681,1952137.41277027,126.99805879921743,37.56753639291464
서울교통공사,5호선,종로3가(탑골공원),서울특별시 종로구 돈의동 39-1 5호선 종로3가역(5호선),서울특별시 종로구 돈화문로11길  26(돈의동),y,954959.571640439,1952711.63190041,126.98994265375661,37.57267731159819
서울교통공사,5호선,천호(풍납토성),서울특별시 강동구 천호동 455 천호역(5호선),서울특별시 강동구 천호대로 997(천호동),y,966721.691634953,1948957.84248207,127.12330924941531,37.539343313017945
서울교통공사,5호선,청구,서울특별시 중구 신당동 295-2 청구역(5호선),서울특별시 중구 청구로 77(신당동),y,957047.112346011,1951329.50604424,127.0136630694857,37.5603196515198
서울교통공사,5호선,충정로(경기대입구),서울특별시 서대문구 충정로3가 248-1 충정로역(5호선),서울특별시 서대문구 충정로  28-1(충정로3가),y,952606.107157108,1951428.75822045,126.96337500227273,37.56099639885686
서울교통공사,6호선,공덕,서울특별시 마포구 공덕동 439 공덕역(6호선),서울특별시 마포구 백범로 200(공덕동),y,951588.346643768,1949494.5998432,126.95197938783994,37.54351055571775
서울교통공사,6호선,동묘앞,서울특별시 종로구 숭인동 316-3 동묘앞역(6호선),서울특별시 종로구 지봉로 24(숭인동),y,957232.060705668,1952643.41696742,127.01568042238357,37.57217085655948
서울교통공사,6호선,디지털미디어시티,서울특별시 은평구 증산동 223-25 디지털미디어시티역(6호선),서울특별시 은평구 수색로 175(증산동),y,947185.04923983,1953249.07996004,126.90186591798567,37.57710815182445
서울교통공사,6호선,보문,서울특별시 성북구 보문동1가 127-1 보문역(6호선),서울특별시 성북구 보문로 116(보문동1가),y,957575.888413241,1954125.40600553,127.0194880910274,37.58554427137849
서울교통공사,6호선,불광,서울특별시 은평구 대조동 13-10 불광역(6호선),서울특별시 은평구 통일로 723-1(대조동),y,949690.25973613,1956905.98324957,126.92998498125326,37.61020844378952
서울교통공사,6호선,삼각지,서울특별시 용산구 한강로1가 228-1 삼각지역(6호선),서울특별시 용산구 한강대로 185(한강로1가),y,953458.367822505,1948567.46613854,126.97320601319943,37.535250434643146
서울교통공사,6호선,석계,서울특별시 노원구 월계동 25-2 석계역(6호선),서울특별시 노원구 화랑로  347-1(월계동),y,961710.787158927,1957379.72862556,127.0661499628827,37.61505766405288
서울교통공사,6호선,신내,서울특별시 중랑구 신내동 19 신내역(6호선),서울특별시 중랑구 용마산로136길 33 신내차량기지,y,964881.382933296,1957152.04217687,127.10208567208859,37.61313207295123
서울교통공사,6호선,신당,서울특별시 중구 흥인동 162-1 신당역(6호선),서울특별시 중구 다산로 260(흥인동),y,957270.494960663,1951988.54747709,127.01615383535118,37.566270146407476
서울교통공사,6호선,약수,서울특별시 중구 신당동 369-2 약수역(6호선),서울특별시 중구 다산로 115(신당동),y,956746.428869582,1950645.29168042,127.01029903454297,37.554138584411646
서울교통공사,6호선,연신내,서울특별시 은평구 갈현동 397 연신내역(6호선),서울특별시 은평구 통일로 849(갈현동),y,948917.51352481,1957881.91149478,126.92116190606612,37.61896190154113
서울교통공사,6호선,청구,서울특별시 중구 신당동 295-2 청구역(6호선),서울특별시 중구 청구로 77(신당동),y,957047.112346011,1951329.50604424,127.0136630694857,37.5603196515198
서울교통공사,6호선,태릉입구,서울특별시 노원구 공릉동 616-4 태릉입구역(6호선),서울특별시 노원구 동일로  992-1(공릉동),y,962526.082613557,1957759.49772111,127.0753682677666,37.618514215117514
서울교통공사,6호선,합정,서울특별시 마포구 합정동 414 합정역(6호선),서울특별시 마포구 양화로 45(합정동),y,948212.316034096,1950249.04348341,126.91371118996905,37.550126907903554
서울교통공사,6호선,효창공원앞,서울특별시 용산구 효창동 80 효창공원앞역(6호선),서울특별시 용산구 백범로 287(효창동),y,952402.723472578,1949057.38799268,126.96122612670834,37.53961229921143
서울교통공사,7호선,가산디지털단지,서울특별시 금천구 가산동 468-4 가산디지털단지역(7호선),서울특별시 금천구 벚꽃로 309(가산동),y,945373.187084844,1942740.79273499,126.8821292679693,37.482290208291715
서울교통공사,7호선,강남구청,서울특별시 강남구 삼성동 111-44 강남구청역(7호선),서울특별시 강남구 학동로 346(삼성동),y,959463.746268146,1946532.42905012,127.04128969035852,37.51719161224083
서울교통공사,7호선,건대입구,서울특별시 광진구 화양동 6-3 건대입구역(7호선),서울특별시 광진구 능동로 110(화양동),y,962105.499494999,1949144.32410005,127.07104831756635,37.5408459004367
서울교통공사,7호선,고속터미널,서울특별시 서초구 반포동 19-11 고속터미널역(7호선),서울특별시 서초구 신반포로 188(반포동),y,956245.070718808,1945188.38198946,127.00494821168384,37.50493022997351
서울교통공사,7호선,군자(능동),서울특별시 광진구 능동 275-5 군자(능동)역(7호선),서울특별시 광진구 천호대로 550(능동),y,962787.882423648,1950988.53964686,127.07867889169091,37.55749626095453
서울교통공사,7호선,노원,서울특별시 노원구 상계동 729 노원역(7호선),서울특별시 노원구 동일로 1409(상계동),y,961234.277176846,1961779.66941137,127.06051732735357,37.65469521303372
서울교통공사,7호선,대림(구로구청),서울특별시 영등포구 대림동 1050-17 대림역(7호선),서울특별시 영등포구 도림로 137(대림동),y,946661.488194569,1943892.51797225,126.89661669424154,37.49274622285064
서울교통공사,7호선,도봉산,서울특별시 도봉구 도봉동 38-3 도봉산역(7호선),서울특별시 도봉구 도봉로 964-40(도봉동),y,960018.814979259,1965604.53167713,127.04652842149086,37.68911701803284
인천교통공사,7호선,부평구청,,경기도 부천시 길주로 189,y,934911.662735129,1945356.48484579,126.76357825960471,37.50518723995711
서울교통공사,7호선,상봉(시외버스터미널),서울특별시 중랑구 상봉동 100-9 상봉역(7호선),서울특별시 중랑구 망우로 297(상봉동),y,963430.886857065,1955336.25333402,127.0857418656494,37.59670931759148
인천교통공사,7호선,석남(거북시장),,인천광역시 서구 길주로 120,y,927047.465831317,1945544.2139458,126.6745906190789,37.506291004841735
서울교통공사,7호선,온수(성공회대입구),서울특별시 구로구 온수동 119 온수역(7호선),서울특별시 구로구 경인로3길 64(온수동),y,940177.008734354,1943874.73411103,126.82326794326343,37.49218852611017
서울교통공사,7호선,총신대입구(이수),서울특별시 동작구 사당동 144-4 이수역(7호선),서울특별시 동작구 사당로 310(사당동),y,954181.480612904,1943017.00328211,126.98173647015085,37.48525877947803
서울교통공사,7호선,태릉입구,서울특별시 노원구 공릉동 616-4 태릉입구역(7호선),서울특별시 노원구 동일로  992-1(공릉동),y,962526.082613557,1957759.49772111,127.0753682677666,37.618514215117514
서울교통공사,8호선,가락시장,서울특별시 송파구 가락동 184-23 가락시장역(8호선),서울특별시 송파구 송파대로 257(가락동),y,966274.643182304,1943789.80882922,127.11848624140217,37.49274529285958
서울교통공사,8호선,모란,경기도 성남시 수정구 수진동 4518 모란역(8호선),경기도 성남시 수정구 산성대로 100(수진동),y,967227.470586112,1937252.05665076,127.12955561650381,37.43385135883991
서울교통공사,8호선,복정,서울특별시 송파구 장지동 596-21 복정역(8호선),서울특별시 송파구 송파대로 6(장지동),y,966997.468886143,1941380.82556066,127.12677097410241,37.47105803855981
서울교통공사,8호선,석촌,서울특별시 송파구 석촌동 209 석촌역(8호선),서울특별시 송파구 송파대로 439(석촌동),y,965207.592126373,1945259.0752441,127.1063461045265,37.505948861721336
서울교통공사,8호선,잠실(송파구청),서울특별시 송파구 신천동 7-4 잠실역(8호선),서울특별시 송파구 올림픽로 305(신천동),y,965025.378711934,1946262.67854032,127.10423676216502,37.51498788664779
서울교통공사,8호선,천호(풍납토성),서울특별시 강동구 천호동 455 천호역(8호선),서울특별시 강동구 천호대로 997(천호동),y,966721.691634953,1948957.84248207,127.12330924941531,37.539343313017945
서울9호선,9호선,고속터미널,서울특별시 서초구 반포동 19-11,서울특별시 서초구 신반포로 188,y,956245.070718808,1945188.38198946,127.00494821168384,37.50493022997351
서울9호선,9호선,김포공항,서울특별시 강서구 방화동 886,서울특별시 강서구 하늘길 77,y,938290.91320417,1951668.90699964,126.80127845652358,37.56231290590148
서울9호선,9호선,노량진,서울특별시 동작구 노량진동 60-11,서울특별시 동작구 노량진로 130,y,950577.410391403,1946173.34521401,126.94075960582329,37.51352178529421
서울9호선,9호선,당산,서울특별시 영등포구 당산동6가 227-1,서울특별시 영등포구 양평로 40,y,947181.746971631,1948437.27474446,126.90217509008981,37.5337387303651
서울9호선,9호선,동작(현충원),서울특별시 동작구 동작동 326,서울특별시 동작구 현충로 220,y,953808.526752901,1945029.78467746,126.97739166567878,37.50338200117984
서울9호선,9호선,마곡나루,서울특별시 강서구 마곡동 367-6,서울특별시 강서구 마곡중앙5로 2,y,940611.78581879,1952149.29965505,126.82751669222719,37.56679525286972
서울9호선,9호선,석촌,서울특별시 송파구 석촌동 209,서울특별시 송파구 송파대로  439,y,965207.592126373,1945259.0752441,127.1063461045265,37.505948861721336
서울9호선,9호선,선정릉,서울특별시 강남구 삼성동 111-114,서울특별시 강남구 선릉로 580,y,959667.939189926,1945828.93630746,127.04363889260597,37.510859730957904
서울9호선,9호선,여의도,서울특별시 영등포구 여의도동 2-6,서울특별시 영등포구 의사당대로 101,y,949099.612492538,1947111.88822176,126.92397335118235,37.52190069085209
서울9호선,9호선,올림픽공원(한국체대),서울특별시 송파구 방이동 88-26,서울특별시 송파구 양재대로  1233,y,967350.716104815,1946368.99228958,127.13054440064421,37.516031374102596
