정류장번호,정류장명,위도,경도,정보수집일시,모바일단축번호,도시코드,도시명,관리도시명
GGB210000538,상1주민지원센터입구,37.4905667,126.7511833,2.02E+13,11515,31050,부천시,경기도
GGB210000539,상1주민지원센터입구,37.4908,126.7514,2.02E+13,11517,31050,부천시,경기도
GGB210000540,팰리스카운티정문,37.4892667,126.7656,2.02E+13,11518,31050,부천시,경기도
GGB210000541,팰리스카운티정문,37.4900667,126.7657333,2.02E+13,11514,31050,부천시,경기도
GGB210000542,중앙그린빌아파트,37.5021833,126.7939333,2.02E+13,11519,31050,부천시,경기도
GGB210000543,중앙그린빌아파트,37.5021833,126.7941,2.02E+13,11520,31050,부천시,경기도
GGB210000544,금호한양상가.유베이스,37.4962,126.7758167,2.02E+13,11522,31050,부천시,경기도
GGB210000545,그린타운앞.유베이스,37.4964167,126.7760333,2.02E+13,11521,31050,부천시,경기도
GGB210000547,중동역.신한은행(마을),37.4875833,126.7648167,2.02E+13,11562,31050,부천시,경기도
GGB210000548,아인스월드,37.5119,126.7453,2.02E+13,11553,31050,부천시,경기도
GGB210000549,사랑마을.신도초교,37.49685,126.7575833,2.02E+13,11525,31050,부천시,경기도
GGB210000550,청암아파트,37.4875167,126.8139833,2.02E+13,11071,31050,부천시,경기도
GGB210000551,KT중동지사,37.5022,126.76075,2.02E+13,11534,31050,부천시,경기도
GGB210000552,경남아파트,37.4974,126.75435,2.02E+13,11541,31050,부천시,경기도
GGB210000553,한국아파트,37.49715,126.7540167,2.02E+13,11540,31050,부천시,경기도
GGB210000554,팰리스카운티.장말문예사거리,37.49245,126.7662333,2.02E+13,11542,31050,부천시,경기도
GGB210000555,신흥시장,37.51495,126.7691333,2.02E+13,11549,31050,부천시,경기도
GGB210000556,신흥시장,37.5152167,126.7693167,2.02E+13,11551,31050,부천시,경기도
GGB210000557,부천동행정복지센터.원미어울마당,37.4978333,126.7873667,2.02E+13,11536,31050,부천시,경기도
GGB210000558,부천동행정복지센터.원미어울마당,37.4977833,126.7865167,2.02E+13,11539,31050,부천시,경기도
GGB210000559,원미지구대,37.4973833,126.79055,2.02E+13,11538,31050,부천시,경기도
GGB210000560,원미지구대,37.4972833,126.7900833,2.02E+13,11537,31050,부천시,경기도
GGB210000561,부천터미널소풍,37.5039,126.7559833,2.02E+13,11544,31050,부천시,경기도
GGB210000564,부천상상거리,37.4861667,126.7802333,2.02E+13,11548,31050,부천시,경기도
GGB210000567,성우아파트,37.49065,126.8201667,2.02E+13,11472,31050,부천시,경기도
GGB210000568,송내역A,37.4878167,126.7540167,2.02E+13,11555,31050,부천시,경기도
GGB210000569,송내역B,37.4878333,126.7537,2.02E+13,11556,31050,부천시,경기도
GGB210000570,송내역C,37.4878333,126.7533333,2.02E+13,11557,31050,부천시,경기도
GGB210000571,위브더스테이트9단지,37.4965333,126.7782667,2.02E+13,11499,31050,부천시,경기도
GGB210000572,루미아트,37.4962,126.7777167,2.02E+13,11558,31050,부천시,경기도
GGB210000576,부개6단지후문.웅진플레이,37.4988,126.7431167,2.02E+13,11503,31050,부천시,경기도
GGB210000579,인천미래생활고등학교,37.5004833,126.7435667,2.02E+13,11504,31050,부천시,경기도
GGB210000580,신상교,37.5163333,126.7519833,2.02E+13,11563,31050,부천시,경기도
GGB210000581,장미공원앞,37.5164667,126.78995,2.02E+13,11001,31050,부천시,경기도
GGB210000583,e편한세상2차.예원아파트,37.4905833,126.8142333,2.02E+13,11004,31050,부천시,경기도
GGB210000584,e편한세상1.3차아파트,37.48965,126.8147167,2.02E+13,11023,31050,부천시,경기도
GGB210000585,역곡상상시장,37.4886667,126.8121,2.02E+13,11064,31050,부천시,경기도
GGB210000586,한국아파트,37.4920333,126.81315,2.02E+13,11067,31050,부천시,경기도
GGB210000587,역곡역북부(마을),37.4859833,126.8121,2.02E+13,11068,31050,부천시,경기도
GGB210000589,e편한세상4차아파트,37.48835,126.8153833,2.02E+13,11093,31050,부천시,경기도
GGB210000590,예성센트럴빌,37.4900333,126.8125167,2.02E+13,11470,31050,부천시,경기도
GGB210000591,동부센트레빌3단지아파트,37.4912333,126.8122833,2.02E+13,11104,31050,부천시,경기도
GGB210000594,예원아파트.역곡동교회,37.49005,126.8127,2.02E+13,11106,31050,부천시,경기도
GGB210000595,우남사거리,37.4891667,126.81295,2.02E+13,11486,31050,부천시,경기도
GGB210000596,우남사거리,37.4891667,126.8131333,2.02E+13,11109,31050,부천시,경기도
GGB210000597,동부센트레빌3차아파트,37.4910333,126.8117167,2.02E+13,11120,31050,부천시,경기도
GGB210000600,부천터미널소풍(시외.고속),37.5041167,126.75655,2.02E+13,11545,31050,부천시,경기도
GGB210000601,부천터미널소풍(시외.고속),37.5041833,126.7565667,2.02E+13,11546,31050,부천시,경기도
GGB210000602,동곡초등학교.온수고가사거리,37.4895333,126.8178667,2.02E+13,11122,31050,부천시,경기도
GGB210000603,동곡초등학교.온수고가사거리,37.4893167,126.8178667,2.02E+13,11172,31050,부천시,경기도
GGB210000604,원미2주민지원센터.원미부흥시장,37.4928667,126.7899167,2.02E+13,11189,31050,부천시,경기도
GGB210000605,원미2주민지원센터.원미부흥시장,37.4927167,126.79,2.02E+13,11200,31050,부천시,경기도
GGB210000606,부천북초.부천여성청소년센터,37.4931833,126.7877167,2.02E+13,11201,31050,부천시,경기도
