시군명,공동주택구분,공동주택명정보,읍면동주소,지번주소,사용검사일자,층수,동수,세대수,의무관리대상여부
고양시,,소만마을2,행신동,798,1996-03-15,15,2,150,Y
고양시,,소만마을3,행신동,799,1996-09-02,15,3,345,Y
고양시,,소만마을5,행신동,788,1994-10-31,15,4,423,Y
고양시,,소만마을6,행신동,785787,1995-04-08,15,17,1602,Y
고양시,,소만마을7,행신동,783,1995-04-29,15,5,713,Y
고양시,,소만마을8,행신동,781,1994-12-10,15,6,639,Y
고양시,,소만마을9,행신동,793,1995-05-13,15,7,960,Y
고양시,,숲속마을10단지,풍동,1223,2006-06-29,12,6,234,Y
고양시,,숲속마을1단지,풍동,1292,2007-11-10,20,8,1019,N
고양시,,숲속마을2단지,중산동,1286,2006-07-07,20,10,888,Y
고양시,,숲속마을3단지,풍동,1283,2006-09-20,20,5,382,Y
고양시,,숲속마을4단지,풍동,1265,2006-06-29,18,9,822,N
고양시,,숲속마을5단지,중산동,1267,2006-06-27,20,8,583,Y
고양시,,숲속마을6단지,풍동,1268,2006-09-28,20,9,730,Y
고양시,,숲속마을7단지,풍동,1261,2006-09-08,20,9,982,Y
고양시,,숲속마을8단지,풍동,1258,2006-07-06,20,11,1034,Y
고양시,,숲속마을9단지,풍동,1252,2006-12-08,20,7,469,Y
고양시,,스타팰리스,풍동,588-1,2019-10-28,4,10,87,N
고양시,,신동아타운하우스,행신동,1091,2008-09-30,4,10,94,N
고양시,,신성,관산동,981,1998-05-29,20,5,320,Y
고양시,,신성아파트,주교동,572-0,1988-12-02,5,2,80,N
고양시,,신영아파트,일산동,1818-0,1987-02-19,5,2,120,N
고양시,,신원당1단지,성사동,719,1992-10-11,18,3,354,Y
고양시,,신원당2단지,성사동,723,1993-10-30,15,5,500,Y
고양시,,신원당3단지,성사동,724,1992-11-28,15,6,495,Y
고양시,,신원당5단지,성사동,730,1993-11-29,16,5,512,Y
고양시,,신원당6단지,성사동,731,1993-10-20,16,8,604,Y
고양시,,신원당7단지,성사동,727,1992-11-30,15,5,390,Y
고양시,,신원당8단지,성사동,726,1992-10-09,16,4,480,Y
고양시,,신원당9단지,성사동,725,1993-06-14,15,4,500,Y
고양시,,신원마을1,신원동,609,2015-08-12,27,7,611,Y
고양시,,신원마을10단지,신원동,661,2018-03-24,25,7,834,Y
고양시,,신원마을2,신원동,611,2013-05-14,19,16,1495,N
고양시,,신원마을23단지,신원동,594,2013-10-30,11,1,40,N
고양시,,신원마을3,신원동,613,2013-06-12,20,8,866,N
고양시,,신원마을4단지,신원동,616,2016-09-01,18,12,1302,N
고양시,,신원마을5,신원동,654,2013-10-17,23,7,455,Y
고양시,,신원마을8,신원동,600,2012-06-29,24,7,610,Y
고양시,,신원마을9,신원동,658,2012-07-04,22,6,353,Y
고양시,,신진연립,토당동,18172,1988-01-18,3,4,66,N
고양시,,쌍용아파트,풍동,1127-1,2002-06-26,18,7,238,Y
고양시,,양지마을 1단지,정발산동,786,1996-02-29,4,9,108,N
고양시,,양지마을 2단지,정발산동,720,1996-03-12,4,12,147,N
고양시,,양지마을 3단지,정발산동,721,1996-04-12,4,8,152,Y
고양시,,양지마을 4단지,정발산동,696,1996-03-12,4,7,152,Y
고양시,,양지마을 5단지,정발산동,676,1996-04-12,4,11,216,Y
고양시,,에이스 12차,풍동,385-1,1998-07-04,24,1,202,Y
